iter	Logloss
0	0.6788643052
1	0.6658441373
2	0.6543640745
3	0.6439590897
4	0.6342165475
5	0.6257569615
6	0.6183294125
7	0.6115015468
8	0.6052809843
9	0.5995389081
10	0.5943526018
11	0.5897683354
12	0.5858418234
13	0.5821834901
14	0.5788644539
15	0.5760133937
16	0.5733384969
17	0.5706406748
18	0.5683270247
19	0.566191842
20	0.5642809877
21	0.5624899597
22	0.5610623774
23	0.5595276544
24	0.5580996619
25	0.5569952949
26	0.5558818921
27	0.5548913359
28	0.5538338921
29	0.55285026
30	0.5520080451
31	0.5512435922
32	0.5506134502
33	0.5499105984
34	0.5492464002
35	0.5486555002
36	0.5480364541
37	0.5476280507
38	0.5470870116
39	0.5466850363
40	0.5462514072
41	0.5458226819
42	0.545485985
43	0.5450963723
44	0.54476931
45	0.5444057334
46	0.5440993712
47	0.5437829139
48	0.5435318752
49	0.5432333231
50	0.5429331062
51	0.5427412411
52	0.5425132647
53	0.5423294565
54	0.5421188145
55	0.5419460841
56	0.5417790154
57	0.5415882166
58	0.5414356755
59	0.5412471553
60	0.5410628374
61	0.5408782698
62	0.5406992208
63	0.5405903485
64	0.5404211418
65	0.5402935875
66	0.5401256942
67	0.5399449928
68	0.5397859274
69	0.5396214104
70	0.5395207306
71	0.5393880142
72	0.539261688
73	0.5391307956
74	0.5390591789
75	0.53892954
76	0.5388574055
77	0.538730069
78	0.5385991814
79	0.5384968016
80	0.5384030945
81	0.5383177342
82	0.5382100945
83	0.5380929348
84	0.5379744735
85	0.5378872339
86	0.5377963133
87	0.5377175432
88	0.5376660871
89	0.5375617539
90	0.5374674694
91	0.5373772167
92	0.5373053714
93	0.5372009071
94	0.5371490174
95	0.5370657703
96	0.5370037431
97	0.5369554595
98	0.5368980154
99	0.5368078835
100	0.536736356
101	0.5366413931
102	0.53656299
103	0.5364817866
104	0.5364231259
105	0.536342279
106	0.5362520379
107	0.5361824278
108	0.5360898179
109	0.5359985542
110	0.5358858165
111	0.5357956465
112	0.5356847099
113	0.5356323467
114	0.5355666229
115	0.5355069499
116	0.5354374382
117	0.5353523908
118	0.5352829593
119	0.5351957069
120	0.5351525289
121	0.5350814608
122	0.5349861909
123	0.5349484194
124	0.5348679435
125	0.5348047089
126	0.5347612475
127	0.5346924274
128	0.5346255894
129	0.534552879
130	0.5344855501
131	0.5343877525
132	0.534304587
133	0.5342500149
134	0.5341916936
135	0.5341375654
136	0.5340740857
137	0.5340340418
138	0.5339659949
139	0.5338977853
140	0.5337998749
141	0.533726947
142	0.5336827665
143	0.533637522
144	0.5336073128
145	0.5335684309
146	0.5335255502
147	0.5334465347
148	0.5333952198
149	0.5333272617
150	0.5332232838
151	0.5331841994
152	0.5331128443
153	0.5330962655
154	0.5330186032
155	0.532987523
156	0.5329368063
157	0.5329129976
158	0.5328737946
159	0.5327937399
160	0.5327403724
161	0.5326604657
162	0.5326162564
163	0.5325501999
164	0.5325009663
165	0.5324516546
166	0.5323810054
167	0.5323241636
168	0.5322705684
169	0.5322237929
170	0.5321521836
171	0.5320881958
172	0.5320231979
173	0.5319795953
174	0.5319433224
175	0.531894764
176	0.5318552201
177	0.5318078135
178	0.5317715672
179	0.531701042
180	0.5316544823
181	0.531562314
182	0.5314924396
183	0.5314264557
184	0.5313834106
185	0.5313403141
186	0.5312817571
187	0.5312313451
188	0.5311561413
189	0.5311252078
190	0.5310571448
191	0.5309844879
192	0.5309202276
193	0.5308423428
194	0.5307878854
195	0.5307320066
196	0.5306833012
197	0.5306393046
198	0.5305847635
199	0.5305331492
