iter	Passed	Remaining
0	12	2500
1	26	2598
2	38	2556
3	59	2911
4	72	2841
5	88	2875
6	97	2693
7	107	2574
8	116	2473
9	125	2380
10	134	2304
11	145	2274
12	155	2239
13	163	2173
14	171	2113
15	178	2057
16	189	2036
17	196	1987
18	204	1943
19	211	1902
20	220	1883
21	228	1848
22	236	1817
23	244	1792
24	254	1782
25	264	1773
26	273	1751
27	281	1726
28	288	1700
29	296	1677
30	309	1689
31	320	1682
32	327	1659
33	343	1678
34	354	1672
35	362	1653
36	371	1636
37	380	1620
38	387	1598
39	394	1578
40	401	1558
41	409	1540
42	416	1520
43	423	1501
44	431	1485
45	438	1468
46	447	1457
47	457	1449
48	465	1433
49	473	1419
50	483	1413
51	491	1397
52	498	1383
53	507	1370
54	515	1358
55	521	1341
56	528	1327
57	535	1311
58	542	1297
59	549	1281
60	555	1266
61	561	1249
62	567	1234
63	575	1222
64	581	1207
65	587	1193
66	594	1179
67	600	1164
68	608	1155
69	614	1141
70	621	1128
71	627	1115
72	634	1103
73	640	1091
74	647	1079
75	654	1067
76	660	1054
77	666	1042
78	673	1031
79	679	1019
80	685	1007
81	691	995
82	698	983
83	705	974
84	712	964
85	718	952
86	724	941
87	731	930
88	739	921
89	746	912
90	752	901
91	759	891
92	766	881
93	772	871
94	778	860
95	785	850
96	791	840
97	798	831
98	805	821
99	812	812
100	818	802
101	824	792
102	831	782
103	837	773
104	844	763
105	851	754
106	857	745
107	866	737
108	873	728
109	879	719
110	886	710
111	892	701
112	899	692
113	905	683
114	912	674
115	918	665
116	925	656
117	932	648
118	939	639
119	947	631
120	952	622
121	960	613
122	967	605
123	973	596
124	979	587
125	986	579
126	994	571
127	1001	563
128	1007	554
129	1014	546
130	1020	537
131	1027	529
132	1034	521
133	1041	512
134	1048	504
135	1054	496
136	1062	488
137	1068	479
138	1074	471
139	1080	463
140	1086	454
141	1095	447
142	1101	439
143	1108	430
144	1113	422
145	1119	414
146	1126	406
147	1132	398
148	1139	389
149	1147	382
150	1153	374
151	1160	366
152	1166	358
153	1172	350
154	1179	342
155	1185	334
156	1193	326
157	1200	318
158	1206	311
159	1212	303
160	1217	295
161	1224	287
162	1231	279
163	1237	271
164	1243	263
165	1250	256
166	1258	248
167	1264	240
168	1270	233
169	1276	225
170	1282	217
171	1291	210
172	1298	202
173	1304	194
174	1312	187
175	1318	179
176	1325	172
177	1332	164
178	1338	157
179	1346	149
180	1353	142
181	1359	134
182	1365	126
183	1371	119
184	1378	111
185	1386	104
186	1393	96
187	1399	89
188	1405	81
189	1411	74
190	1419	66
191	1425	59
192	1432	51
193	1439	44
194	1448	37
195	1455	29
196	1463	22
197	1469	14
198	1476	7
199	1485	0
